round,entryId,intrinsicValue,priority,activation,userSilence,modelSilence,state,userHit,modelHit
0,wb_rescue_咖啡,60,100,60.000,0,0,Active,1,0
0,wb_rescue_白厄,90,150,0.000,1,1,Archived,0,0
1,wb_rescue_咖啡,60,100,59.768,1,1,Active,0,0
1,wb_rescue_白厄,90,150,0.000,2,2,Archived,0,0
2,wb_rescue_咖啡,60,100,58.838,2,2,Active,0,0
2,wb_rescue_白厄,90,150,0.000,3,3,Archived,0,0
3,wb_rescue_咖啡,60,100,56.747,3,3,Active,0,0
3,wb_rescue_白厄,90,150,90.000,0,0,Active,1,1
4,wb_rescue_咖啡,60,100,53.029,4,4,Active,0,0
4,wb_rescue_白厄,90,150,89.810,1,1,Active,0,0
5,wb_rescue_咖啡,60,100,47.219,5,5,Active,0,0
5,wb_rescue_白厄,90,150,89.051,2,2,Active,0,0
6,wb_rescue_咖啡,60,100,38.854,6,6,Active,0,0
6,wb_rescue_白厄,90,150,87.344,3,3,Active,0,0
7,wb_rescue_咖啡,60,100,27.467,7,7,Dormant,0,0
7,wb_rescue_白厄,90,150,84.308,4,4,Active,0,0
8,wb_rescue_咖啡,60,100,68.261,0,0,Active,1,0
8,wb_rescue_白厄,90,150,79.564,5,5,Active,0,0
9,wb_rescue_咖啡,60,100,68.029,1,1,Active,0,0
9,wb_rescue_白厄,90,150,72.734,6,6,Active,0,0
