round,entryId,intrinsicValue,priority,activation,userSilence,modelSilence,state,userHit,modelHit
0,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
0,wb_mix_昔涟主角,90,200,0.000,1,1,Archived,0,0
0,wb_mix_哀丽秘榭,70,150,0.000,1,1,Archived,0,0
0,wb_mix_咖啡,45,100,0.000,1,1,Archived,0,0
0,wb_mix_Blender,45,100,0.000,1,1,Archived,0,0
0,wb_mix_猫,45,100,0.000,1,1,Archived,0,0
0,wb_mix_星穹铁道,45,100,0.000,1,1,Archived,0,0
0,wb_mix_今天下午,15,80,0.000,1,1,Archived,0,0
0,wb_mix_上周电影,15,80,0.000,1,1,Archived,0,0
0,wb_mix_天气,15,80,0.000,1,1,Archived,0,0
1,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
1,wb_mix_昔涟主角,90,200,0.000,2,2,Archived,0,0
1,wb_mix_哀丽秘榭,70,150,0.000,2,2,Archived,0,0
1,wb_mix_咖啡,45,100,0.000,2,2,Archived,0,0
1,wb_mix_Blender,45,100,0.000,2,2,Archived,0,0
1,wb_mix_猫,45,100,0.000,2,2,Archived,0,0
1,wb_mix_星穹铁道,45,100,0.000,2,2,Archived,0,0
1,wb_mix_今天下午,15,80,0.000,2,2,Archived,0,0
1,wb_mix_上周电影,15,80,0.000,2,2,Archived,0,0
1,wb_mix_天气,15,80,0.000,2,2,Archived,0,0
2,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
2,wb_mix_昔涟主角,90,200,0.000,3,3,Archived,0,0
2,wb_mix_哀丽秘榭,70,150,0.000,3,3,Archived,0,0
2,wb_mix_咖啡,45,100,0.000,3,3,Archived,0,0
2,wb_mix_Blender,45,100,0.000,3,3,Archived,0,0
2,wb_mix_猫,45,100,0.000,3,3,Archived,0,0
2,wb_mix_星穹铁道,45,100,0.000,3,3,Archived,0,0
2,wb_mix_今天下午,15,80,0.000,3,3,Archived,0,0
2,wb_mix_上周电影,15,80,0.000,3,3,Archived,0,0
2,wb_mix_天气,15,80,30.986,0,0,Active,1,0
3,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
3,wb_mix_昔涟主角,90,200,0.000,4,4,Archived,0,0
3,wb_mix_哀丽秘榭,70,150,0.000,4,4,Archived,0,0
3,wb_mix_咖啡,45,100,45.000,0,0,Active,1,0
3,wb_mix_Blender,45,100,0.000,4,4,Archived,0,0
3,wb_mix_猫,45,100,0.000,4,4,Archived,0,0
3,wb_mix_星穹铁道,45,100,0.000,4,4,Archived,0,0
3,wb_mix_今天下午,15,80,0.000,4,4,Archived,0,0
3,wb_mix_上周电影,15,80,0.000,4,4,Archived,0,0
3,wb_mix_天气,15,80,30.976,1,0,Active,0,1
4,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
4,wb_mix_昔涟主角,90,200,0.000,5,5,Archived,0,0
4,wb_mix_哀丽秘榭,70,150,0.000,5,5,Archived,0,0
4,wb_mix_咖啡,45,100,44.732,1,1,Active,0,0
4,wb_mix_Blender,45,100,0.000,5,5,Archived,0,0
4,wb_mix_猫,45,100,0.000,5,5,Archived,0,0
4,wb_mix_星穹铁道,45,100,0.000,5,5,Archived,0,0
4,wb_mix_今天下午,15,80,0.000,5,5,Archived,0,0
4,wb_mix_上周电影,15,80,0.000,5,5,Archived,0,0
4,wb_mix_天气,15,80,57.908,0,0,Active,1,1
5,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
5,wb_mix_昔涟主角,90,200,0.000,6,6,Archived,0,0
5,wb_mix_哀丽秘榭,70,150,0.000,6,6,Archived,0,0
5,wb_mix_咖啡,45,100,43.658,2,2,Active,0,0
5,wb_mix_Blender,45,100,0.000,6,6,Archived,0,0
5,wb_mix_猫,45,100,0.000,6,6,Archived,0,0
5,wb_mix_星穹铁道,45,100,0.000,6,6,Archived,0,0
5,wb_mix_今天下午,15,80,0.000,6,6,Archived,0,0
5,wb_mix_上周电影,15,80,37.918,0,0,Active,1,0
5,wb_mix_天气,15,80,57.898,1,0,Active,0,1
6,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
6,wb_mix_昔涟主角,90,200,90.000,0,0,Active,1,0
6,wb_mix_哀丽秘榭,70,150,0.000,7,7,Archived,0,0
6,wb_mix_咖啡,45,100,41.243,3,3,Active,0,0
6,wb_mix_Blender,45,100,0.000,7,7,Archived,0,0
6,wb_mix_猫,45,100,0.000,7,7,Archived,0,0
6,wb_mix_星穹铁道,45,100,0.000,7,7,Archived,0,0
6,wb_mix_今天下午,15,80,0.000,7,7,Archived,0,0
6,wb_mix_上周电影,15,80,37.453,1,1,Active,0,0
6,wb_mix_天气,15,80,56.271,2,1,Active,0,0
7,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
7,wb_mix_昔涟主角,90,200,89.810,1,1,Active,0,0
7,wb_mix_哀丽秘榭,70,150,0.000,8,8,Archived,0,0
7,wb_mix_咖啡,45,100,36.950,4,4,Active,0,0
7,wb_mix_Blender,45,100,0.000,8,8,Archived,0,0
7,wb_mix_猫,45,100,0.000,8,8,Archived,0,0
7,wb_mix_星穹铁道,45,100,0.000,8,8,Archived,0,0
7,wb_mix_今天下午,15,80,0.000,8,8,Archived,0,0
7,wb_mix_上周电影,15,80,64.384,0,0,Active,1,0
7,wb_mix_天气,15,80,52.475,3,2,Active,0,0
8,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
8,wb_mix_昔涟主角,90,200,89.051,2,2,Active,0,0
8,wb_mix_哀丽秘榭,70,150,0.000,9,9,Archived,0,0
8,wb_mix_咖啡,45,100,30.242,5,5,Active,0,0
8,wb_mix_Blender,45,100,0.000,9,9,Archived,0,0
8,wb_mix_猫,45,100,45.000,0,0,Active,1,0
8,wb_mix_星穹铁道,45,100,0.000,9,9,Archived,0,0
8,wb_mix_今天下午,15,80,0.000,9,9,Archived,0,0
8,wb_mix_上周电影,15,80,63.920,1,1,Active,0,0
8,wb_mix_天气,15,80,45.582,4,3,Active,0,0
9,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
9,wb_mix_昔涟主角,90,200,87.344,3,3,Active,0,0
9,wb_mix_哀丽秘榭,70,150,70.000,0,0,Active,1,0
9,wb_mix_咖啡,45,100,20.582,6,6,Dormant,0,0
9,wb_mix_Blender,45,100,0.000,10,10,Archived,0,0
9,wb_mix_猫,45,100,44.732,1,1,Active,0,0
9,wb_mix_星穹铁道,45,100,0.000,10,10,Archived,0,0
9,wb_mix_今天下午,15,80,0.000,10,10,Archived,0,0
9,wb_mix_上周电影,15,80,62.061,2,2,Active,0,0
9,wb_mix_天气,15,80,38.309,5,0,Active,0,1
10,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
10,wb_mix_昔涟主角,90,200,84.308,4,4,Active,0,0
10,wb_mix_哀丽秘榭,70,150,69.785,1,1,Active,0,0
10,wb_mix_咖啡,45,100,7.434,7,7,Dormant,0,0
10,wb_mix_Blender,45,100,0.000,11,11,Archived,0,0
10,wb_mix_猫,45,100,43.658,2,2,Active,0,0
10,wb_mix_星穹铁道,45,100,0.000,11,11,Archived,0,0
10,wb_mix_今天下午,15,80,0.000,11,11,Archived,0,0
10,wb_mix_上周电影,15,80,57.878,3,3,Active,0,0
10,wb_mix_天气,15,80,24.288,6,1,Dormant,0,0
11,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
11,wb_mix_昔涟主角,90,200,79.564,5,5,Active,0,0
11,wb_mix_哀丽秘榭,70,150,68.924,2,2,Active,0,0
11,wb_mix_咖啡,45,100,0.000,8,8,Archived,0,0
11,wb_mix_Blender,45,100,0.000,12,12,Archived,0,0
11,wb_mix_猫,45,100,41.243,3,3,Active,0,0
11,wb_mix_星穹铁道,45,100,45.000,0,0,Active,1,0
11,wb_mix_今天下午,15,80,0.000,12,12,Archived,0,0
11,wb_mix_上周电影,15,80,50.442,4,4,Active,0,0
11,wb_mix_天气,15,80,5.001,7,2,Dormant,0,0
12,wb_mix_测试常驻,100,200,0.000,0,0,Archived,0,0
12,wb_mix_昔涟主角,90,200,72.734,6,6,Active,0,0
12,wb_mix_哀丽秘榭,70,150,99.910,0,0,Active,1,0
12,wb_mix_咖啡,45,100,0.000,9,9,Archived,0,0
12,wb_mix_Blender,45,100,0.000,13,13,Archived,0,0
12,wb_mix_猫,45,100,36.950,4,4,Active,0,0
12,wb_mix_星穹铁道,45,100,44.732,1,1,Active,0,0
12,wb_mix_今天下午,15,80,0.000,13,13,Archived,0,0
